zip4,province,city
6522,云南省 ,昆明
6523,云南省 ,红河哈尼族彝族
6526,云南省 ,玉溪
6528,云南省 ,玉溪
6531,云南省 ,玉溪
6532,云南省 ,玉溪
6534,云南省 ,玉溪
6541,云南省 ,昆明
6542,云南省 ,曲靖
6543,云南省 ,红河哈尼族彝族
6546,云南省 ,昭通
6548,云南省 ,思茅
6550,云南省 ,曲靖
6551,云南省 ,曲靖
6555,云南省 ,曲靖
6556,云南省 ,曲靖
6558,云南省 ,曲靖
6570,云南省 ,昭通
6571,云南省 ,昭通
6573,云南省 ,昭通
6575,云南省 ,昭通
6577,云南省 ,昭通
6579,云南省 ,昭通
6610,云南省 ,红河哈尼族彝族
6612,云南省 ,红河哈尼族彝族
6614,云南省 ,红河哈尼族彝族
6615,云南省 ,红河哈尼族彝族
6622,云南省 ,红河哈尼族彝族
6625,云南省 ,红河哈尼族彝族
6630,云南省 ,文山壮族苗族
6632,云南省 ,文山壮族苗族
6634,云南省 ,文山壮族苗族
6636,云南省 ,文山壮族苗族
6650,云南省 ,思茅
6651,云南省 ,思茅
6657,云南省 ,思茅
6659,云南省 ,思茅
6661,云南省 ,西双版纳傣族
6663,云南省 ,西双版纳傣族
6665,云南省 ,思茅
6710,云南省 ,大理白族自治州
6713,云南省 ,大理白族自治州
6714,云南省 ,怒江傈僳族自治州
6716,云南省 ,大理白族自治州
6724,云南省 ,大理白族自治州
6726,云南省 ,大理白族自治州
6731,云南省 ,怒江傈僳族自治州
6734,云南省 ,怒江傈僳族自治州
6741,云南省 ,丽江
6742,云南省 ,丽江
6744,云南省 ,迪庆藏族自治州
6746,云南省 ,迪庆藏族自治州
6748,云南省 ,丽江
6750,云南省 ,楚雄彝族自治州
6752,云南省 ,楚雄彝族自治州
6754,云南省 ,楚雄彝族自治州
6756,云南省 ,大理白族自治州
6758,云南省 ,临沧
6770,云南省 ,临沧
6774,云南省 ,临沧
6776,云南省 ,临沧
6780,云南省 ,保山
6782,云南省 ,保山
6784,云南省 ,德宏傣族景颇族
6787,云南省 ,德宏傣族景颇族
6791,云南省 ,保山
6793,云南省 ,德宏傣族景颇族
7100,陕西省 ,西安
7102,陕西省 ,西安
7104,陕西省 ,西安
7106,陕西省 ,西安
7112,陕西省 ,咸阳
7114,陕西省 ,商洛
7116,陕西省 ,安康
7117,陕西省 ,渭南
7120,陕西省 ,咸阳
7121,陕西省 ,咸阳
7131,陕西省 ,咸阳
7133,陕西省 ,咸阳
7135,陕西省 ,咸阳
7137,陕西省 ,咸阳
7140,陕西省 ,渭南
7141,陕西省 ,渭南
7143,陕西省 ,渭南
7152,陕西省 ,渭南
7154,陕西省 ,渭南
7156,陕西省 ,渭南
7157,陕西省 ,延安
7160,陕西省 ,延安
7161,陕西省 ,延安
7171,陕西省 ,延安
7173,陕西省 ,延安
7175,陕西省 ,延安
7176,陕西省 ,咸阳
7180,陕西省 ,榆林
7182,陕西省 ,榆林
7184,陕西省 ,榆林
7186,陕西省 ,榆林
7190,陕西省 ,榆林
7192,陕西省 ,榆林
7193,陕西省 ,榆林
7210,陕西省 ,宝鸡
7211,陕西省 ,宝鸡
7213,陕西省 ,宝鸡
7215,陕西省 ,宝鸡
7217,陕西省 ,宝鸡
7223,陕西省 ,宝鸡
7230,陕西省 ,汉中
7232,陕西省 ,汉中
7234,陕西省 ,汉中
7236,陕西省 ,汉中
7242,陕西省 ,汉中
7244,陕西省 ,汉中
7250,陕西省 ,安康
7251,陕西省 ,安康
7253,陕西省 ,安康
7255,陕西省 ,安康
7257,陕西省 ,安康
7260,陕西省 ,商洛
7262,陕西省 ,商洛
7264,陕西省 ,商洛
7270,陕西省 ,铜川
7271,陕西省 ,铜川
7273,陕西省 ,延安
7275,陕西省 ,延安
7300,甘肃省,兰州
7302,甘肃省,兰州
7305,甘肃省,定西
7306,甘肃省,白银
7309,甘肃省,白银
7311,甘肃省,临夏回族自治州
7313,甘肃省,临夏回族自治州
7315,甘肃省,临夏回族自治州
7317,甘肃省,临夏回族自治州
7330,甘肃省,武威
7332,甘肃省,武威
7340,甘肃省,张掖
7342,甘肃省,张掖
7344,甘肃省,武威
7350,甘肃省,酒泉
7351,甘肃省,嘉峪关
